Player	Position	Team	Opponent	Projection	Salary	CPP
Jermaine Kearse	WR	NYJ	DEN	8.94	6300	705
Kenny Golladay	WR	DET	TBB	8.63	5100	591
Marqise Lee	WR	JAC	SEA	8.56	6600	771
Nelson Agholor	WR	PHI	LAR	8.47	6200	732
Will Fuller	WR	HOU	SFO	8.47	5400	638
Kelvin Benjamin	WR	BUF	IND	8.39	5900	703
Paul Richardson	WR	SEA	JAC	8.37	5900	705
Josh Doctson	WR	WAS	LAC	8.29	5600	676
Tyrell Williams	WR	LAC	WAS	8	4900	613
Corey Davis	WR	TEN	ARI	7.98	5600	702
Dede Westbrook	WR	JAC	SEA	7.75	5200	671
Rishard Matthews	WR	TEN	ARI	7.56	6000	794
Tyler Lockett	WR	SEA	JAC	7.43	5200	700
Zay Jones	WR	BUF	IND	7.38	4500	610
Brandon LaFell	WR	CIN	CHI	7.31	5300	725
Dontrelle Inman	WR	CHI	CIN	7.3	5200	712
Corey Coleman	WR	CLE	GBP	7.26	5700	785
Travis Benjamin	WR	LAC	WAS	6.94	5000	720
J.J. Nelson	WR	ARI	TEN	6.93	4700	678
Albert Wilson	WR	KCC	OAK	6.75	5400	800
Ryan Grant	WR	WAS	LAC	6.72	5000	744
Terrance Williams	WR	DAL	NYG	6.64	5300	798
Randall Cobb	WR	GBP	CLE	6.6	5000	758
Jaron Brown	WR	ARI	TEN	6.42	4900	763
Donte Moncrief	WR	IND	BUF	6.32	5000	791
Russell Shepard	WR	CAR	MIN	6.25	4900	784
Braxton Miller	WR	HOU	SFO	5.88	4500	765
Louis Murphy	WR	SFO	HOU	5.67	4500	794
Trent Taylor	WR	SFO	HOU	5.63	4500	799
Cole Beasley	WR	DAL	NYG	5.61	5000	891
Deonte Thompson	WR	BUF	IND	5.54	4600	830
Eric Decker	WR	TEN	ARI	5.45	4800	881
Kendall Wright	WR	CHI	CIN	5.21	4700	902
Cody Latimer	WR	DEN	NYJ	5.2	4500	865
Roger Lewis	WR	NYG	DAL	5.17	5000	967
Tavarres King	WR	NYG	DAL	5.14	4700	914
Allen Hurns	WR	JAC	SEA	5	5300	1060
Torrey Smith	WR	PHI	LAR	5	4900	980
Demarcus Robinson	WR	KCC	OAK	4.91	4700	957
Seth Roberts	WR	OAK	KCC	4.84	4500	930
Adam Humphries	WR	TBB	DET	4.74	4800	1013
Chester Rogers	WR	IND	BUF	4.74	5100	1076
Brice Butler	WR	DAL	NYG	4.45	4600	1034
Chad Hansen	WR	NYJ	DEN	4.37	4500	1030
Tavon Austin	WR	LAR	PHI	3.99	4700	1178
Josh Bellamy	WR	CHI	CIN	3.97	4500	1134
Josh Malone	WR	CIN	CHI	3.51	4500	1282
Chad Williams	WR	ARI	TEN	3.37	4500	1335
Laquon Treadwell	WR	MIN	CAR	3.14	4700	1497
Geronimo Allison	WR	GBP	CLE	3.09	4500	1456
Kamar Aiken	WR	IND	BUF	2.94	4600	1565
Aldrick Robinson	WR	SFO	HOU	2.92	4700	1610
Chris Godwin	WR	TBB	DET	2.83	4500	1590
Mack Hollins	WR	PHI	LAR	2.8	4500	1607
Cordarrelle Patterson	WR	OAK	KCC	2.76	4500	1630
Kendrick Bourne	WR	SFO	HOU	2.59	4500	1737
Tyler Boyd	WR	CIN	CHI	2.59	4500	1737
Keelan Cole	WR	JAC	SEA	2.48	4500	1815
Bennie Fowler	WR	DEN	NYJ	2.39	4500	1883
Taywan Taylor	WR	TEN	ARI	2.33	4600	1974
Maurice Harris	WR	WAS	LAC	2.27	4600	2026
Andre Holmes	WR	BUF	IND	2.26	4500	1991
Alex Erickson	WR	CIN	CHI	2.25	4500	2000
ArDarius Stewart	WR	NYJ	DEN	2.09	4500	2153
Kenny Britt	WR	CLE	GBP	1.96	4700	2398
Johnny Holton	WR	OAK	KCC	1.93	4500	2332
Rashard Higgins	WR	CLE	GBP	1.84	4500	2446
Jarius Wright	WR	MIN	CAR	1.72	4700	2733
Ricardo Louis	WR	CLE	GBP	1.59	4500	2830
DeAnthony Thomas	WR	KCC	OAK	1.43	4600	3217
Brittan Golden	WR	ARI	TEN	1.39	4500	3237
Tanner McEvoy	WR	SEA	JAC	1.02	4500	4412
Brandon Tate	WR	BUF	IND	0.83	4600	5542
Jaydon Mickens	WR	JAC	SEA	0.55	4500	8182
Chris Thompson	WR	HOU	SFO	0.4	4500	11250
Greg Zuerlein	K	LAR	PHI	11.5	5200	452
Jake Elliott	K	PHI	LAR	8.1	5100	630
Matt Prater	K	DET	TBB	9.2	5000	543
Graham Gano	K	CAR	MIN	8.1	4800	593
Dan Bailey	K	DAL	NYG	7	4800	686
Harrison Butker	K	KCC	OAK	8.5	4800	565
Stephen Hauschka	K	BUF	IND	8.3	4800	578
Mason Crosby	K	GBP	CLE	7	4800	686
Kaimi Fairbairn	K	HOU	SFO	8	4700	588
Josh Lambo	K	JAC	SEA	7.8	4700	603
Ryan Succop	K	TEN	ARI	8.8	4700	534
Kai Forbath	K	MIN	CAR	7.4	4600	622
Randy Bullock	K	CIN	CHI	6	4600	767
Blair Walsh	K	SEA	JAC	6.2	4600	742
Giorgio Tavecchio	K	OAK	KCC	6.2	4600	742
Chandler Catanzaro	K	NYJ	DEN	7.6	4600	605
Brandon McManus	K	DEN	NYJ	7.8	4600	590
Nick Rose	K	WAS	LAC	6.6	4600	697
Adam Vinatieri	K	IND	BUF	7.3	4600	630
Zane Gonzalez	K	CLE	GBP	6.5	4500	692
Patrick Murray	K	TBB	DET	8.8	4500	511
Phil Dawson	K	ARI	TEN	7.9	4500	570
Robbie Gould	K	SFO	HOU	8.2	4500	549
Aldrick Rosas	K	NYG	DAL	6.4	4500	703
